Asset Class,U.S. Inflation,U.S. Cash,U.S. Intermediate Treasuries,U.S. Long Treasuries,TIPS,U.S. Aggregate Bonds,U.S. Securitized,U.S. Short Duration Government/Credit,U.S. Long Duration Government/Credit,U.S. Inv Grade Corporate Bonds,U.S. Long Corporate Bonds,U.S. High Yield Bonds,U.S. Leveraged Loans,World Government Bonds hedged,World Government Bonds,World ex-U.S. Government Bonds hedged,World ex-U.S. Government Bonds,Emerging Markets Sovereign Debt,Emerging Markets Local Currency Debt,Emerging Markets Corporate Bonds,U.S. Muni 1-15 Yr Blend,U.S. Muni High Yield,U.S. Large Cap,U.S. Mid Cap,U.S. Small Cap,Euro Area Large Cap,Japanese Equity,Hong Kong Equity,UK Large Cap,EAFE Equity,Chinese Domestic Equity,Emerging Markets Equity,AC Asia ex-Japan Equity,AC World Equity,U.S. Equity Value Factor,U.S. Equity Momentum Factor,U.S. Equity Quality Factor,U.S. Equity Minimum Volatility Factor,U.S. Equity Dividend Yield Factor,Global Convertible Bonds hedged,U.S. Core Real Estate,U.S. Value-Added Real Estate,European Core Real Estate,Asia Pacific Core Real Estate,U.S. REITs,Commercial Mortgage Loans,Global Core Infrastructure,Global Core Transport,Global Timberland,Commodities,Gold,Private Equity,Venture Capital,Diversified Hedge Funds,Event Driven Hedge Funds,Long Bias Hedge Funds,Relative Value Hedge Funds,Macro Hedge Funds,Direct Lending
U.S. Inflation,1,-0.02,-0.26,-0.21,-0,-0.24,-0.22,-0.29,-0.2,-0.17,-0.17,0.01,0.18,-0.28,-0.15,-0.27,-0.13,-0.12,-0.03,-0.05,-0.16,0.2,0.01,0.01,-0.02,-0.02,-0.07,-0.03,0.05,-0.01,-0.05,0,-0.05,0,-0.02,0.02,-0,-0.01,-0,-0.08,0.31,0.31,0.31,0.22,-0,0.11,0.2,0.16,-0.02,0.27,-0.01,0.09,-0.07,0.09,0.09,0.02,0.14,-0.03,0.24
U.S. Cash,-0.02,1,0.17,0.06,0.04,0.1,0.12,0.26,0.04,0.02,0.01,-0.07,-0.09,0.1,0.1,0.09,0.09,0.03,0.12,-0.03,0.09,-0.04,-0.04,-0.05,-0.07,0.05,-0.03,-0.01,-0.02,0.01,0.1,0.02,0.01,-0.01,-0.07,-0.03,-0.02,-0.08,-0.08,-0.04,-0.17,-0.17,-0.16,-0.05,-0.06,0,0.01,0.13,0.18,-0.04,0.09,0,-0.05,0.01,-0.05,-0.04,-0.06,0.04,-0.11
U.S. Intermediate Treasuries,-0.26,0.17,1,0.83,0.61,0.83,0.79,0.83,0.72,0.49,0.48,-0.06,-0.39,0.85,0.74,0.71,0.63,0.27,0.19,0.16,0.52,0.11,-0.11,-0.16,-0.19,-0.06,-0.05,-0.06,-0.17,-0.08,-0.05,-0.07,-0.04,-0.1,-0.16,-0.12,-0.09,-0.07,-0.12,-0.12,-0.25,-0.25,-0.35,-0.27,0.05,0.18,-0.25,0.01,-0.12,-0.17,0.37,-0.36,-0.27,-0.33,-0.29,-0.21,-0.29,-0.09,-0.43
U.S. Long Treasuries,-0.21,0.06,0.83,1,0.58,0.83,0.73,0.58,0.89,0.56,0.64,-0.06,-0.31,0.86,0.63,0.73,0.52,0.3,0.14,0.19,0.49,0.2,-0.1,-0.12,-0.19,-0.1,-0.03,-0.06,-0.18,-0.09,-0.03,-0.06,-0.02,-0.1,-0.16,-0.07,-0.08,-0.04,-0.11,-0.07,-0.16,-0.16,-0.31,-0.26,0.13,0.17,-0.28,0.03,-0.21,-0.23,0.31,-0.42,-0.28,-0.25,-0.29,-0.21,-0.25,-0.08,-0.43
TIPS,-0,0.04,0.61,0.58,1,0.75,0.69,0.61,0.68,0.7,0.65,0.46,0.18,0.6,0.67,0.55,0.64,0.61,0.44,0.53,0.57,0.46,0.29,0.28,0.18,0.27,0.25,0.23,0.23,0.3,0.11,0.32,0.31,0.31,0.22,0.33,0.3,0.29,0.27,0.32,0.11,0.11,0.17,0.24,0.36,0.53,0.23,-0.03,0.15,0.27,0.48,0.17,0.14,0.19,0.21,0.25,0.25,0.09,0.15
U.S. Aggregate Bonds,-0.24,0.1,0.83,0.83,0.75,1,0.93,0.82,0.93,0.85,0.85,0.35,0.03,0.86,0.79,0.77,0.72,0.63,0.45,0.54,0.71,0.39,0.21,0.19,0.11,0.25,0.26,0.26,0.17,0.26,0.16,0.27,0.3,0.25,0.16,0.23,0.23,0.24,0.19,0.28,-0.08,-0.08,-0.1,0.04,0.35,0.43,0,-0.09,0.03,0,0.41,-0.03,0,0.01,0.06,0.15,0.11,-0.05,-0.12
U.S. Securitized,-0.22,0.12,0.79,0.73,0.69,0.93,1,0.79,0.79,0.73,0.71,0.35,0.03,0.77,0.71,0.68,0.66,0.58,0.41,0.48,0.68,0.39,0.2,0.19,0.12,0.24,0.26,0.25,0.17,0.25,0.16,0.25,0.28,0.23,0.17,0.21,0.21,0.22,0.19,0.25,-0.02,-0.02,-0.04,0.07,0.34,0.47,0.03,-0.04,0.04,-0.01,0.36,-0.02,0.02,-0.03,0.05,0.13,0.1,-0.14,-0.07
U.S. Short Duration Government/Credit,-0.29,0.26,0.83,0.58,0.61,0.82,0.79,1,0.65,0.64,0.58,0.26,-0.07,0.71,0.73,0.61,0.68,0.47,0.39,0.42,0.55,0.17,0.09,0.07,0.01,0.19,0.18,0.2,0.09,0.19,0.11,0.21,0.23,0.15,0.07,0.08,0.1,0.1,0.08,0.17,-0.2,-0.2,-0.15,-0.04,0.15,0.27,-0.01,-0.11,0.09,0.03,0.38,-0.04,-0.05,-0.07,0.02,0.1,0.05,0.01,-0.18
U.S. Long Duration Government/Credit,-0.2,0.04,0.72,0.89,0.68,0.93,0.79,0.65,1,0.84,0.9,0.3,0.02,0.83,0.72,0.76,0.65,0.59,0.41,0.5,0.62,0.35,0.21,0.19,0.1,0.22,0.25,0.23,0.15,0.24,0.14,0.25,0.28,0.23,0.14,0.23,0.22,0.25,0.19,0.27,-0.09,-0.09,-0.14,0.01,0.36,0.32,-0.05,-0.08,-0,-0.01,0.35,-0.09,-0.05,0.04,0.05,0.13,0.1,0,-0.15
U.S. Inv Grade Corporate Bonds,-0.17,0.02,0.49,0.56,0.7,0.85,0.73,0.64,0.84,1,0.97,0.64,0.37,0.63,0.67,0.61,0.66,0.81,0.6,0.79,0.68,0.53,0.46,0.47,0.36,0.48,0.5,0.49,0.44,0.52,0.29,0.52,0.54,0.52,0.41,0.49,0.47,0.47,0.45,0.58,0.05,0.05,0.14,0.33,0.51,0.47,0.25,-0.25,0.23,0.21,0.38,0.36,0.27,0.34,0.38,0.45,0.44,0.07,0.21
